text,link
Images,https://www.google.co.in/imghp?hl=en&tab=wi
Maps,https://maps.google.co.in/maps?hl=en&tab=wl
Play,https://play.google.com/?hl=en&tab=w8
YouTube,https://www.youtube.com/?gl=IN&tab=w1
News,https://news.google.com/?tab=wn
Gmail,https://mail.google.com/mail/?tab=wm
Drive,https://drive.google.com/?tab=wo
More »,https://www.google.co.in/intl/en/about/products?tab=wh
Web History,http://www.google.co.in/history/optout?hl=en
Settings,https://www.google.com/preferences?hl=en
Sign in,https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/%3FAccess-Control-Allow-Origin%3D%252A%26Access-Control-Allow-Methods%3DGET%26Access-Control-Allow-Headers%3DContent-Type%26Access-Control-Max-Age%3D3600%26User-Agent%3DMozilla%252F5.0%2B%2528X11%253B%2BUbuntu%253B%2BLinux%2Bx86_64%253B%2Brv%253A52.0%2529%2BGecko%252F20100101%2BFirefox%252F52.0&ec=GAZAAQ
Advanced search,https://www.google.com/advanced_search?hl=en-IN&authuser=0
हिन्दी,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=hi&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAU
বাংলা,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=bn&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAY
తెలుగు,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=te&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAc
मराठी,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=mr&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAg
தமிழ்,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=ta&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAk
ગુજરાતી,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=gu&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAo
ಕನ್ನಡ,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=kn&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAs
മലയാളം,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=ml&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCAw
ਪੰਜਾਬੀ,https://www.google.com/setprefs?sig=0_GaGY9S7mUmO4IX7sjI-rXKVbhAw%3D&hl=pa&source=homepage&sa=X&ved=0ahUKEwjgrOaRvNDtAhWDUn0KHSbWDIkQ2ZgBCA0
Advertising Programs,https://www.google.com/intl/en/ads/
Business Solutions,http://www.google.co.in/services/
About Google,https://www.google.com/intl/en/about.html
Google.co.in,https://www.google.com/setprefdomain?prefdom=IN&prev=https://www.google.co.in/&sig=K_hU67cAZeehYx8HTEE8w_uOOf1e4%3D
Privacy,https://www.google.com/intl/en/policies/privacy/
Terms,https://www.google.com/intl/en/policies/terms/
